,index,lai_in_situ,lai_est,error
0,1,0.3315863111,1.0390231609344482,0.7074368498344483
1,2,2.77,2.020770311355591,0.7492296886444092
2,3,2.77,2.020770311355591,0.7492296886444092
3,7,0.4561789692,1.1249897480010986,0.6688107788010986
4,8,2.8,2.0927834510803223,0.7072165489196776
5,9,2.8,2.0927834510803223,0.7072165489196776
6,13,0.8701463241,1.050540804862976,0.18039448076297604
7,14,2.99,2.1238138675689697,0.8661861324310305
8,15,2.99,2.1238138675689697,0.8661861324310305
9,18,0.5219298907,1.0778025388717651,0.5558726481717652
10,19,2.85,2.0549850463867188,0.7950149536132813
11,20,2.85,2.0549850463867188,0.7950149536132813
12,23,0.06804567942,0.7380807399749756,0.6700350605549756
13,24,0.3283328475,0.8702918887138367,0.5419590412138366
14,26,4.2,4.286299705505371,0.08629970550537092
15,31,4.61,5.092029571533203,0.4820295715332028
16,32,0.1230504723,0.7591904401779175,0.6361399678779175
17,33,0.1597654569,0.8504964113235474,0.6907309544235474
18,35,3.61,3.9004759788513184,0.2904759788513185
19,40,4.74,5.0462799072265625,0.3062799072265623
20,41,0.2091011907,0.7045837640762329,0.4954825733762329
21,43,0.09942144474,0.7763779759407043,0.6769565312007043
22,46,3.83,3.8152079582214355,0.014792041778564524
23,51,4.7,5.011377334594727,0.3113773345947264
24,52,0.1513213665,0.6483033299446106,0.4969819634446106
25,53,0.2290921907,0.7911981344223022,0.5621059437223023
26,57,3.26,3.5534064769744873,0.2934064769744875
27,62,5.72,5.006580829620361,0.7134191703796384
28,63,0.3236896082,0.706780195236206,0.3830905870362061
29,65,4.41,3.297532081604004,1.1124679183959962
30,71,5.66,3.732267141342163,1.927732858657837
31,72,0.4048672885,0.7354555130004883,0.3305882245004883
32,75,6.25,4.143935203552246,2.106064796447754
33,81,6.51,3.1593260765075684,3.3506739234924314
34,82,0.3458428499,0.7315790057182312,0.3857361558182312
35,84,4.77,4.169102191925049,0.6008978080749507
36,90,5.22,4.019168853759766,1.2008311462402341
37,91,0.2518860407,0.7463375329971313,0.49445149229713137
38,94,4.59,4.007144451141357,0.5828555488586424
39,99,6.19,5.111173629760742,1.0788263702392582
40,100,6.37,5.215036869049072,1.1549631309509278
41,101,0.1336954371,0.7128416299819946,0.5791461928819946
42,104,5.22,4.034606456756592,1.185393543243408
43,110,5.68,5.076111793518066,0.6038882064819333
44,111,0.1137664944,0.7814368009567261,0.6676703065567261
45,113,3.61,3.7564010620117188,0.14640106201171887
46,119,5.44,5.040225028991699,0.39977497100830117
47,120,0.301057523,0.7430318593978882,0.4419743363978882
48,122,3.98,3.9468655586242676,0.033134441375732404
49,128,5.06,5.136409759521484,0.07640975952148477
50,129,0.2577041945,0.774695098400116,0.5169909039001159
51,131,4.06,3.8305745124816895,0.22942548751831016
52,137,5.66,5.040646553039551,0.6193534469604494
53,143,3.75,2.510843276977539,1.239156723022461
54,144,2.66,3.4263129234313965,0.7663129234313963
55,153,3.61,2.829197406768799,0.780802593231201
56,154,4.01,4.107724189758301,0.097724189758301
57,163,3.36,2.810523748397827,0.5494762516021727
58,164,2.6,4.16019344329834,1.5601934432983398
59,171,3.85,2.607513189315796,1.2424868106842042
60,172,2.82,3.507199287414551,0.6871992874145509
61,179,3.65,2.8409786224365234,0.8090213775634765
62,180,2.8,3.7033238410949707,0.9033238410949709
63,184,0.3444631854,1.352771282196045,1.008308096796045
64,187,2.91,2.545602321624756,0.3643976783752443
65,188,2.69,3.417118549346924,0.7271185493469239
66,194,0.2320606053,1.1145572662353516,0.8824966609353515
67,196,2.3,2.80941104888916,0.5094110488891603
68,197,1.8,3.100417375564575,1.3004173755645752
69,203,0.2257583276,1.2293298244476318,1.003571496847632
70,205,4.31,3.5260021686553955,0.7839978313446041
71,206,3.0,4.303562641143799,1.3035626411437988
72,212,0.2831097772,1.0390466451644897,0.7559368679644898
73,214,3.05,3.1277685165405273,0.07776851654052752
74,215,4.51,3.979588508605957,0.5304114913940428
75,221,0.1919811103,1.034400224685669,0.842419114385669
76,223,4.15,3.565140962600708,0.5848590373992923
77,224,3.24,4.669575214385986,1.4295752143859861
78,230,0.466908246,1.2390961647033691,0.7721879187033691
79,232,4.42,3.1829488277435303,1.2370511722564697
80,233,2.68,3.900190830230713,1.2201908302307127
81,239,0.2399121027,1.230254054069519,0.9903419513695191
82,241,4.79,3.300731658935547,1.4892683410644532
83,242,3.44,4.136356353759766,0.6963563537597657
84,246,0.6828092612,1.0296437740325928,0.3468345128325928
85,247,0.9229258009,1.1092196702957153,0.18629386939571535
86,252,0.7800811794,1.6267883777618408,0.8467071983618408
87,257,1.791321836,1.8341190814971924,0.04279724549719233
88,262,2.213371128,1.698620319366455,0.5147508086335448
89,267,0.3412812487,0.9738352298736572,0.6325539811736572
90,272,0.7330523431,1.811024785041809,1.077972441941809
